Loan_ID,Total_Income,Income_Bucket,Credit_Category,Avg_Area_Loan,Loan_Status,Category_Count
LP002101,63337.0,1,Good,143.3972602739726,1,380
LP001585,51763.0,1,Good,143.3972602739726,1,380
LP001640,43897.0,1,Good,141.90217391304347,1,380
LP002422,37719.0,1,Good,141.90217391304347,1,380
LP001448,23803.0,1,Good,150.59310344827585,1,380
LP001922,20667.0,1,Good,150.59310344827585,0,380
LP001996,20233.0,1,Good,150.59310344827585,0,380
LP002813,19484.0,1,Good,141.90217391304347,1,380
LP002547,18333.0,1,Good,143.3972602739726,0,380
LP002699,17500.0,1,Good,150.59310344827585,1,380
LP002501,16692.0,1,Good,141.90217391304347,1,380
LP002531,18917.0,1,Good,141.90217391304347,1,380
LP002855,16666.0,1,Good,143.3972602739726,1,380
LP002938,16120.0,1,Good,143.3972602739726,1,380
LP002065,15000.0,1,Good,150.59310344827585,1,380
LP002364,14880.0,1,Good,141.90217391304347,1,380
LP001516,14866.0,1,Good,143.3972602739726,1,380
LP001859,16783.0,1,Good,150.59310344827585,0,380
LP001401,14583.0,1,Good,150.59310344827585,1,380
LP001907,14583.0,1,Good,141.90217391304347,1,380
LP002634,13262.0,1,Good,143.3972602739726,1,380
LP001020,23809.0,1,Good,141.90217391304347,0,380
LP001100,15500.0,1,Good,150.59310344827585,0,380
LP001508,11757.0,1,Good,143.3972602739726,1,380
LP001369,12543.0,1,Good,143.3972602739726,1,380
LP001673,11000.0,1,Good,143.3972602739726,0,380
LP002541,10833.0,1,Good,141.90217391304347,1,380
LP001233,10750.0,1,Good,143.3972602739726,1,380
LP002795,10139.0,1,Good,141.90217391304347,1,380
LP002050,10000.0,1,Good,150.59310344827585,0,380
LP001519,11666.0,1,Good,150.59310344827585,0,380
LP001708,10000.0,1,Good,141.90217391304347,0,380
LP002945,9963.0,1,Good,150.59310344827585,1,380
LP002103,11666.0,1,Good,143.3972602739726,1,380
LP001814,9703.0,1,Good,143.3972602739726,1,380
LP001066,9560.0,1,Good,141.90217391304347,1,380
LP001543,9538.0,1,Good,143.3972602739726,1,380
LP001647,9328.0,1,Good,150.59310344827585,1,380
LP002201,17196.0,1,Good,150.59310344827585,1,380
LP001572,9323.0,1,Good,143.3972602739726,1,380
LP002255,9167.0,1,Good,150.59310344827585,1,380
LP002139,9083.0,1,Good,141.90217391304347,1,380
LP002140,12917.0,1,Good,150.59310344827585,0,380
LP002377,8624.0,1,Good,141.90217391304347,1,380
LP001289,8566.0,1,Good,143.3972602739726,1,380
LP002473,8334.0,1,Good,141.90217391304347,0,380
LP001666,12083.0,1,Good,150.59310344827585,1,380
LP002149,11500.0,1,Good,150.59310344827585,1,380
LP001776,8333.0,1,Good,141.90217391304347,1,380
LP002543,8333.0,1,Good,141.90217391304347,1,380
LP002983,8312.0,1,Good,143.3972602739726,1,380
LP001580,8000.0,1,Good,141.90217391304347,1,380
LP002693,15114.0,1,Good,150.59310344827585,1,380
LP001562,7933.0,1,Good,143.3972602739726,0,380
LP002409,9734.0,1,Good,150.59310344827585,1,380
LP002484,7740.0,1,Good,143.3972602739726,1,380
LP001749,8588.0,1,Good,141.90217391304347,1,380
LP002301,7441.0,1,Good,150.59310344827585,0,380
LP001370,7333.0,1,Good,150.59310344827585,0,380
LP001871,7200.0,1,Good,150.59310344827585,1,380
LP002234,7167.0,1,Good,143.3972602739726,1,380
LP002407,7142.0,1,Good,150.59310344827585,1,380
LP002453,7085.0,1,Good,141.90217391304347,1,380
LP001953,6875.0,1,Good,141.90217391304347,1,380
LP002180,6822.0,1,Good,150.59310344827585,1,380
LP002716,6783.0,1,Good,141.90217391304347,1,380
LP002529,8450.0,1,Good,141.90217391304347,1,380
LP002892,6540.0,1,Good,141.90217391304347,1,380
LP002740,6417.0,1,Good,150.59310344827585,1,380
LP002863,6406.0,1,Good,141.90217391304347,0,380
